Reporting_Period,County,Facility_Name,    Number_of_Incarcerated_in_the_Facility    ,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
07/25/20,Alameda,Santa Rita Jail,U,177,24,<11,<11,22,0,36,0,,,,,
08/01/20,Alameda,Santa Rita Jail,"1,764",176,<11,<11,<11,<11,0,24,0,,,,,
08/08/20,Alameda,Santa Rita Jail,"1,768",174,<11,<11,<11,<11,0,<11,0,,,,,
08/15/20,Alameda,Santa Rita Jail,"1,794",234,<11,0,0,<11,0,<11,0,,,,,
08/22/20,Alameda,Santa Rita Jail,"1,789",197,<11,<11,0,<11,0,<11,0,,,,,
08/29/20,Alameda,Santa Rita Jail,"1,802",277,<11,0,<11,<11,0,0,0,,,,,
09/05/20,Alameda,Santa Rita Jail,"1,820",165,<11,<11,<11,<11,0,<11,0,,,,,
09/12/20,Alameda,Santa Rita Jail,"1,857",177,0,0,0,0,0,<11,0,,,,,
09/19/20,Alameda,Santa Rita Jail,"1,821",211,<11,0,0,<11,0,<11,0,,,,,
09/26/20,Alameda,Santa Rita Jail,"1,829",254,13,0,0,13,0,<11,0,,,,,
10/03/20,Alameda,Santa Rita Jail,"1,848",191,<11,0,0,<11,0,16,0,,,,,
10/10/20,Alameda,Santa Rita Jail,"1,916",148,<11,<11,<11,0,0,<11,0,,,,,
10/17/20,Alameda,Santa Rita Jail,"1,985",200,0,0,0,0,0,<11,0,,,,,
10/24/20,Alameda,Santa Rita Jail,"2,015",161,<11,<11,<11,0,0,0,0,,,,,
10/31/20,Alameda,Santa Rita Jail,"2,009",214,<11,<11,<11,0,0,0,0,,,,,
11/07/20,Alameda,Santa Rita Jail,"2,031",283,<11,<11,<11,0,0,0,0,,,,,
11/14/20,Alameda,Santa Rita Jail,"2,033",162,0,0,0,0,0,0,0,,,,,
11/21/20,Alameda,Santa Rita Jail,"2,043",155,<11,<11,<11,0,0,<11,0,,,,,
11/28/20,Alameda,Santa Rita Jail,"2,086",146,<11,<11,<11,0,0,<11,0,,,,,
12/05/20,Alameda,Santa Rita Jail,"2,078",136,<11,<11,<11,0,0,<11,0,,,,,
12/12/20,Alameda,Santa Rita Jail,"2,067",187,<11,<11,<11,<11,0,<11,0,,,,,
12/19/20,Alameda,Santa Rita Jail,"2,047",164,<11,<11,<11,<11,0,<11,0,,,,,
12/26/20,Alameda,Santa Rita Jail,"2,020",225,<11,<11,<11,52,0,<11,0,,,,,
01/02/21,Alameda,Santa Rita Jail,"2,034",298,75,<11,<11,71,0,35,0,,,,,
01/09/21,Alameda,Santa Rita Jail,"2,008",197,<11,<11,<11,<11,0,76,0,,,,,
01/16/21,Alameda,Santa Rita Jail,"1,986",240,13,0,11,<11,0,14,0,,,,,
01/23/21,Alameda,Santa Rita Jail,"1,939",524,65,<11,<11,62,0,<11,0,,,,,
01/30/21,Alameda,Santa Rita Jail,"2,041",299,19,<11,<11,16,0,49,0,,,,,
02/06/21,Alameda,Santa Rita Jail,"2,048",458,14,<11,<11,16,0,35,0,,,,,
02/13/21,Alameda,Santa Rita Jail,"2,050",260,<11,<11,<11,<11,0,14,0,,,,,
02/20/21,Alameda,Santa Rita Jail,"2,066",358,<11,<11,<11,0,0,<11,0,,,,,
02/27/21,Alameda,Santa Rita Jail,"2,088",220,<11,<11,<11,0,0,<11,0,,,,,
03/06/21,Alameda,Santa Rita Jail,"2,219",390,<11,<11,<11,0,0,<11,0,,,,,
03/13/21,Alameda,Santa Rita Jail,"2,085",222,<11,<11,<11,<11,0,<11,0,,,,,
03/20/21,Alameda,Santa Rita Jail,"2,092",354,<11,<11,<11,<11,0,<11,0,,,,,
03/27/21,Alameda,Santa Rita Jail,"2,092",354,<11,<11,<11,0,0,0,0,,,,,
04/03/21,Alameda,Santa Rita Jail,"2,043",428,<11,<11,<11,<11,0,<11,0,,,,,
04/10/21,Alameda,Santa Rita Jail,"2,027",302,<11,<11,<11,0,0,<11,0,,,,,
04/17/21,Alameda,Santa Rita Jail,"2,015",283,<11,<11,<11,0,0,0,0,,,,,
04/24/21,Alameda,Santa Rita Jail,"2,015",279,0,0,0,0,0,0,0,,,,,
05/01/21,Alameda,Santa Rita Jail,"2,037",191,<11,<11,<11,<11,0,<11,0,,,,,
05/08/21,Alameda,Santa Rita Jail,"1,975",325,<11,<11,<11,0,0,<11,0,,,,,
05/15/21,Alameda,Santa Rita Jail,"1,994",218,<11,<11,<11,0,0,<11,0,,,,,
05/22/21,Alameda,Santa Rita Jail,"1,984",358,<11,<11,<11,0,0,<11,0,,,,,
05/29/21,Alameda,Santa Rita Jail,"1,977",255,<11,<11,<11,0,0,<11,0,,,,,
06/05/21,Alameda,Santa Rita Jail,"1,981",388,<11,<11,<11,0,0,<11,0,,,,,
06/12/21,Alameda,Santa Rita Jail,"1,938",367,<11,<11,<11,0,0,<11,0,,,,,
06/19/21,Alameda,Santa Rita Jail,"1,958",299,0,0,0,0,0,0,0,,,,,
06/26/21,Alameda,Santa Rita Jail,"1,928",259,0,0,0,0,0,0,0,,,,,
07/03/21,Alameda,No Data Reported,,,,,,,,,,,,,,
07/10/21,Alameda,Santa Rita Jail,"1,930",324,<11,<11,<11,0,0,<11,0,,,,,
07/17/21,Alameda,Santa Rita Jail,"1,928",313,<11,<11,<11,<11,0,<11,0,,,,,
07/24/21,Alameda,Santa Rita Jail,"1,917",294,<11,<11,<11,0,0,<11,0,,,,,
07/31/21,Alameda,Santa Rita Jail,"1,911",295,<11,<11,<11,<11,0,<11,0,,,,,
08/07/21,Alameda,Santa Rita Jail,"1,913",239,0,,,,0,<11,0,,,,,
08/14/21,Alameda,Santa Rita Jail,"1,920",327,<11,,,,0,<11,0,,,,,
08/21/21,Alameda,Santa Rita Jail,"1,952",382,20,<11,<11,17,0,<11,0,,,,,
08/28/21,Alameda,Santa Rita Jail,"1,985",372,<11,<11,<11,<11,0,17,0,,,,,
09/04/21,Alameda,Santa Rita Jail,"1,996",526,15,<11,<11,<11,0,<11,0,,,,,
09/11/21,Alameda,Santa Rita Jail,"2,008",386,45,<11,<11,43,0,14,0,,,,,
09/18/21,Alameda,Santa Rita Jail,"2,016",227,11,<11,<11,<11,0,36,0,,,,,
09/25/21,Alameda,No Data Reported,,,,,,,,,,,,,,
